sub_id	T1	T2
COKI10147	GU	MS
COKI10166	MS	MS
COKI10181	GU	GU
COKI10182	GU	GU
COKI10197	GU	GU
COKI10199	GU	GU
COKI20020	GU	GU
COKI20022	GU	GU
COKI70001	GU	GU
COKI70002	GU	GU
COKI70003	GU	GU
COKI70004	GU	MS
COKI70005	GU	GU
COKI70006	GU	MS
COKI70007	GU	GU
COKI70008	GU	MS
COKI70011	GU	GU
COKI70012	n/a	MS
COKI70014	GU	GU
COKI70016	GU	n/a
COKI70017	GU	MS
COKI70018	GU	n/a
COKI70019	GU	MS
COKI70020	GU	MS
COKI70021	GU	MS
COKI70022	MS	MS
COKI70023	n/a	MS
COKI70024	MS	MS
COKI70025	MS	MS
COKI70026	MS	n/a
COKI70027	GU	n/a
COKI70028	MS	MS
COKI70029	MS	MS
COKI70030	MS	MS
COKI70031	MS	MS
COKI70032	MS	MS
